N°;EXPEDIENTE;NOMBRE_PROY;CONVENIO;UBIGEO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO_POBLADO;COD_UT;UNIDAD_TERRITORIAL;COD_SUB_TIPO_PROY;SUB_TIPO_PROY;ALIAS_ SUB_TIPO_PROY;RESUMEN_ETAPA;FECHA_INICIO;FECHA_TERMINO;MONTO_APROB;HOGARES
1;1520170001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR PUERTO SIRA;1520170005;1009010016;HUANUCO;PUERTO INCA;PUERTO INCA;PUERTO SIRA;15;PUCALLPA;75;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2017;(en blanco); 550,000 ; 100 
2;1520170002;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR QUIMPICHARI;1520170006;1009010044;HUANUCO;PUERTO INCA;PUERTO INCA;QUIMPICHARI;15;PUCALLPA;75;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2017;(en blanco); 550,000 ; 100 
3;1520170003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR NUEVO PORVENIR;1520170007;1009010013;HUANUCO;PUERTO INCA;PUERTO INCA;NUEVO PORVENIR;15;PUCALLPA;75;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2017;(en blanco); 550,000 ; 100 
4;1520170004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SANTA ROSA DE PATA;1520170008;1009010009;HUANUCO;PUERTO INCA;PUERTO INCA;SANTA ROSA DE PATA;15;PUCALLPA;75;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2017;(en blanco); 550,000 ; 100 
5;1520170006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR PUCA PANGA;1520170002;1606050027;LORETO;UCAYALI;SARAYACU;PUCA PANGA;15;PUCALLPA;75;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2017;(en blanco); 550,000 ; 100 
6;1520170007;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TRES UNIDOS;1520170003;1606050008;LORETO;UCAYALI;SARAYACU;TRES UNIDOS;15;PUCALLPA;75;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2017;(en blanco); 550,000 ; 100 
7;1520170008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR PUERTO IRENE;1520170004;1606050013;LORETO;UCAYALI;SARAYACU;PUERTO IRENE;15;PUCALLPA;75;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2017-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2017;(en blanco); 550,000 ; 100 
8;1520180003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR VIRGEN DEL CARMEN;1520180003;2503040017;UCAYALI;PADRE ABAD;NESHUYA;VIRGEN DEL CARMEN;15;PUCALLPA;82;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2018;(en blanco); 1,044,000 ; 180 
9;1520180004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR NOLBERTH ;1520180004;2503040018;UCAYALI;PADRE ABAD;NESHUYA;NOLVERT DEL ALTO URUYA;15;PUCALLPA;82;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2018;(en blanco); 1,044,000 ; 180 
10;1520180005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR BUFEO POZO 1;1520180005;2502020007;UCAYALI;ATALAYA;SEPAHUA;BUFEO POZO;15;PUCALLPA;82;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2018;(en blanco); 1,160,000 ; 200 
11;1520180006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR BUFEO POZO 2;1520180006;2502020007;UCAYALI;ATALAYA;SEPAHUA;BUFEO POZO;15;PUCALLPA;82;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2018-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2018;(en blanco); 1,160,000 ; 200 
12;1520190003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR NUEVO CEYLAN;1520190007;2501040025;UCAYALI;CORONEL PORTILLO;MASISEA;NUEVO CEYLAN;15;PUCALLPA;89;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2019;(en blanco); 1,440,000 ; 221 
13;1520190004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR VILLA EL PESCADOR;1520190008;2501040079;UCAYALI;CORONEL PORTILLO;MASISEA;VILLA EL PESCADOR;15;PUCALLPA;89;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2019;(en blanco); 1,439,300 ; 222 
14;1520190005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR HUAO;1520190005;2502010095;UCAYALI;ATALAYA;RAIMONDI;HUAO;15;PUCALLPA;89;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2019;(en blanco); 1,440,000 ; 222 
15;1520190006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MAPALCA;1520190006;2502010080;UCAYALI;ATALAYA;RAIMONDI;MAPALCA;15;PUCALLPA;89;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2019;(en blanco); 1,440,000 ; 221 
16;1520190008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SHAMBO PORVENIR;1520190012;2501060003;UCAYALI;CORONEL PORTILLO;NUEVA REQUENA;SHAMBO PORVENIR;15;PUCALLPA;89;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2019-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2019;(en blanco); 1,508,000 ; 232 
17;0320200015;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MIRAVALLES;0320200013;0611090006;CAJAMARCA;SAN MIGUEL;NIEPOS;EL NARANJO;03;CHICLAYO;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2020;(en blanco); 1,200,000 ; 200 
18;0320200018;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR NIEPOS;0320200014;0611090001;CAJAMARCA;SAN MIGUEL;NIEPOS;NIEPOS;03;CHICLAYO;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2020;(en blanco); 1,200,000 ; 200 
19;0420200001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CHOROMARCA - JOCOS;0420200003;0601100008;CAJAMARCA;CAJAMARCA;MATARA;CHOROMARCA;04;CAJAMARCA;97;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2020-RO Sierra;PROYECTOS EN EJECUCIÓN;14/12/2020;(en blanco); 1,392,000 ; 232 
